Subject,Predicate,Object
Mentha,Synonym,Peppermint
Mentha,HasCommonName,Spearmint
Mentha,HasGenus,mentha
Mentha,HasFamily,Lamiaceae
Mentha,IsNativeTo,Europe
Mentha,IsUsedIn,HerbalTea
Mentha,IsUsedIn,Flavoring
Mentha,HasActiveCompound,Menthol
Mentha,HasActiveCompound,Menthone
Mentha,HasActiveCompound,Carvone
Mentha,HasActiveCompound,Limonene
Mentha,HasActiveCompound,Linalool
Mentha,IsCultivatedIn,UnitedStates
Mentha,IsCultivatedIn,China
Mentha,IsCultivatedIn,India
Mentha,IsCultivatedIn,Iran
Mentha,IsCultivatedIn,Turkey
Mentha,IsCultivatedIn,Morocco
Mentha,IsCultivatedIn,Argentina
Mentha,IsCultivatedIn,Spain
Mentha,IsCultivatedIn,Japan
Mentha,IsCultivatedIn,Brazil
Mentha,IsCultivatedIn,Mexico
Mentha,IsCultivatedIn,Germany
Mentha,IsCultivatedIn,France
Mentha,IsCultivatedIn,Italy
Mentha,IsCultivatedIn,Russia
Mentha,IsCultivatedIn,Egypt
Mentha,IsCultivatedIn,Syria
Mentha,IsCultivatedIn,Morocco
Mentha,IsCultivatedIn,Canada
Mentha,IsCultivatedIn,Australia
Mentha,IsCultivatedIn,Bulgaria
Mentha,IsCultivatedIn,Pakistan
Mentha,IsCultivatedIn,Bangladesh
Mentha,IsCultivatedIn,Nepal
Mentha,IsCultivatedIn,Vietnam
Mentha,IsCultivatedIn,Thailand
Mentha,IsCultivatedIn,Peru
Mentha,IsCultivatedIn,Colombia
Mentha,IsCultivatedIn,Ecuador
Mentha,IsCultivatedIn,Venezuela
Mentha,IsCultivatedIn,Chile
Mentha,IsCultivatedIn,Guatemala
Mentha,IsCultivatedIn,CostaRica
Mentha,IsCultivatedIn,Nicaragua
Mentha,IsCultivatedIn,Honduras
Mentha,IsCultivatedIn,ElSalvador
Mentha,IsCultivatedIn,Panama
Mentha,IsCultivatedIn,Bolivia
Mentha,IsCultivatedIn,Paraguay
Mentha,IsCultivatedIn,Uruguay
Mentha,HasBenefit,RelievesHeadaches
Mentha,HasBenefit,SoothesDigestiveDisorders
Mentha,HasBenefit,ImprovesBreathing
Mentha,HasBenefit,RelievesNausea
Mentha,HasBenefit,ReducesStress
Mentha,HasBenefit,AlleviatesMenstrualCramps
Mentha,HasBenefit,SupportsOralHealth
Mentha,HasBenefit,HasAntibacterialProperties
Mentha,HasBenefit,HasAntifungalProperties
Mentha,HasBenefit,HasAntiviralProperties
Mentha,HasBenefit,SupportsSkinHealth
Mentha,HasBenefit,BoostsImmuneSystem
Mentha,HasBenefit,ImprovesCognitiveFunction
Mentha,HasBenefit,ReducesFevers
Mentha,HasBenefit,AidsWeightLoss
