Subject,Predicate,Object
FreikorpsPutsch,HasName,Freikorps Putsch
FreikorpsPutsch,OccurredIn,Germany
FreikorpsPutsch,Year,1919
FreikorpsPutsch,InvolvedParticipants,Freikorps
FreikorpsPutsch,InvolvedParticipants,GermanGovernment
FreikorpsPutsch,InvolvedParticipants,SpartacistLeague
FreikorpsPutsch,InvolvedParticipants,CommunistPartyofGermany
FreikorpsPutsch,ResultedIn,SuppressionOfCommunistUprising
FreikorpsPutsch,ResultedIn,SupportForWeimarRepublic
FreikorpsPutsch,ResultedIn,IncreaseInViolentClashes
FreikorpsPutsch,ResultedIn,ImpositionOfMartialLawInBerlin
FreikorpsPutsch,Significance,ContributedToWeakeningOfWeimarRepublic
FreikorpsPutsch,Significance,HighlightedTensionsInPostWWIGermany
FreikorpsPutsch,Significance,IncreasedPolarizationInGermanPolitics
FreikorpsPutsch,Significance,InfluencedRiseOfExtremistMovements
FreikorpsPutsch,Significance,PrecededMunichPutsch
FreikorpsPutsch,Significance,InfluencedGovernmentPoliciesTowardsRadicalGroups
FreikorpsPutsch,Significance,ImpactOnEuropeanDiplomacy
FreikorpsPutsch,Significance,ContributionToDestabilizationOfGermanEconomy
FreikorpsPutsch,Significance,HeightenedFearOfRevolutionInGermanElite
FreikorpsPutsch,Significance,InspiredCounter-revolutionaryMovements
FreikorpsPutsch,Significance,StrengthenedAutonomyOfFreikorpsUnits
FreikorpsPutsch,Significance,InfluencedRevisionOfTreatyOfVersailles
FreikorpsPutsch,Significance,CreatedEnvironmentOfPoliticalViolence
FreikorpsPutsch,Significance,ImpactOnSocialistMovementInGermany
FreikorpsPutsch,Significance,ContributedToErosionOfDemocraticInstitutions
FreikorpsPutsch,Significance,InfluencedRiseOfRight-WingNationalism
FreikorpsPutsch,Significance,ExacerbatedClassDividesInGermanSociety
FreikorpsPutsch,Significance,ShapedCollectiveMemoryOfWeimarRepublic
FreikorpsPutsch,Significance,SpurredGrowthOfPoliticalRadicalism
FreikorpsPutsch,Significance,ConsequenceForInternationalRelations
FreikorpsPutsch,Significance,InfluencedWeimarConstitution
FreikorpsPutsch,Significance,ImpactOnLaborMovementInGermany
FreikorpsPutsch,Significance,ContributedToDemilitarizationDebate
FreikorpsPutsch,Significance,HeightenedFearOfCommunismInGermany
FreikorpsPutsch,Significance,InfluencedPublicAttitudesTowardsViolence
FreikorpsPutsch,Significance,ShiftedBalanceOfPowerInGermanPolitics
FreikorpsPutsch,Significance,ImpactOnCulturalProductionInWeimarEra
FreikorpsPutsch,Significance,LegacyInGermanMilitaryHistory
FreikorpsPutsch,Significance,InfluenceOnEarlyNaziIdeology
FreikorpsPutsch,Significance,RoleInCounter-revolutionaryViolence
FreikorpsPutsch,Significance,ImpactOnGermanCollectiveIdentity
FreikorpsPutsch,Significance,ContributionToPoliticalInstabilityInGermany
FreikorpsPutsch,Significance,InfluencedWeimarForeignPolicy
FreikorpsPutsch,Significance,PerceptionInHistoriography
FreikorpsPutsch,Significance,ImpactOnGermanJudiciary
FreikorpsPutsch,Significance,EffectOnWeimarCulture
FreikorpsPutsch,Significance,ReflectionOfSocietalAnxieties
FreikorpsPutsch,Significance,RoleInArmedStruggleForPower
FreikorpsPutsch,Significance,InfluencedAttitudesTowardsAuthoritarianism
FreikorpsPutsch,Significance,ImpactOnGermanElectorate
FreikorpsPutsch,Significance,ContributionToFascistDoctrineDevelopment
FreikorpsPutsch,Significance,ShapedPoliticalRhetoricInInterwarGermany
FreikorpsPutsch,Significance,RoleInConsolidationOfRepublicanRule
FreikorpsPutsch,Significance,InfluenceOnGermanMilitaryStrategy
FreikorpsPutsch,Significance,PerceivedThreatToSocialOrder
FreikorpsPutsch,Significance,ConsequenceForEuropeanSecurity
FreikorpsPutsch,Significance,ImpactOnGermanYouthCulture
FreikorpsPutsch,Significance,RepresentationInGermanLiterature
FreikorpsPutsch,Significance,ConnectionToAntisemiticSentiment
FreikorpsPutsch,Significance,InfluenceOnGermanEducationSystem
FreikorpsPutsch,Significance,RelationToGermanColonialLegacy
FreikorpsPutsch,Significance,EffectOnGermanIndustrialists
FreikorpsPutsch,Significance,LegacyInGermanPoliticalThought
FreikorpsPutsch,Significance,ContributionToHistoriographicalDebate
FreikorpsPutsch,Significance,RoleInEuropeanMemoryOfWWI
FreikorpsPutsch,Significance,ImpactOnGermanReligiousInstitutions
FreikorpsPutsch,Significance,ConnectionToRiseOfAnti-communism
FreikorpsPutsch,Significance,InfluenceOnGermanLegalSystem
FreikorpsPutsch,Significance,EffectOnGermanPhilosophicalDiscourse
FreikorpsPutsch,Significance,RelationToGermanMilitaryTradition
FreikorpsPutsch,Significance,ContributionToGermanNationalism
FreikorpsPutsch,Significance,InfluenceOnEuropeanMilitaryThought
FreikorpsPutsch,Significance,PerceptionInGermanPopularCulture
FreikorpsPutsch,Significance,RoleInRadicalizationOfPoliticalParties
FreikorpsPutsch,Significance,ImpactOnGermanSocialWelfarePolicies
FreikorpsPutsch,Significance,RepresentationInGermanFilm
FreikorpsPutsch,Significance,ConnectionToGermanArtisticMovements
FreikorpsPutsch,Significance,EffectOnGermanUrbanPlanning
FreikorpsPutsch,Significance,LegacyInGermanSportsCulture
