Subject,Predicate,Object
SovietUnion,HasName,Soviet Union
SovietUnion,HasOfficialName,Union of Soviet Socialist Republics (USSR)
SovietUnion,YearOfFoundation,1922
SovietUnion,YearOfDissolution,1991
SovietUnion,Location,Eurasia
SovietUnion,Location,Eastern Europe
SovietUnion,Location,Central Asia
SovietUnion,Location,Caucasus
SovietUnion,Location,Siberia
SovietUnion,Location,Far East
SovietUnion,Location,Arctic
SovietUnion,FoundingLeader,Vladimir Lenin
SovietUnion,KeyLeader,Joseph Stalin
SovietUnion,KeyLeader,Nikita Khrushchev
SovietUnion,KeyLeader,Leonid Brezhnev
SovietUnion,KeyLeader,Mikhail Gorbachev
SovietUnion,KeyLeader,Yuri Andropov
SovietUnion,KeyLeader,Konstantin Chernenko
SovietUnion,OfficialLanguage,Russian
SovietUnion,OfficialLanguage,Various other languages of Soviet republics
SovietUnion,PoliticalIdeology,Marxism-Leninism
SovietUnion,PoliticalIdeology,Communism
SovietUnion,FormOfGovernment,Socialist state
SovietUnion,FormOfGovernment,One-party state
SovietUnion,FormOfGovernment,Command economy
SovietUnion,FormOfGovernment,Planned economy
SovietUnion,FormOfGovernment,Centralized government
SovietUnion,FormOfGovernment,Dictatorship of the proletariat
SovietUnion,FormOfGovernment,Federation
SovietUnion,FormOfGovernment,Totalitarianism
SovietUnion,FormOfGovernment,State atheism
SovietUnion,Area,22,402,200 square kilometers
SovietUnion,Population,293,047,571 (at its peak in 1989)
SovietUnion,Capital,Moscow
SovietUnion,Currency,Soviet ruble
SovietUnion,NationalAnthem,"The Internationale" (1922–1944)
SovietUnion,NationalAnthem,"State Anthem of the Soviet Union" (1944–1991)
SovietUnion,NationalAnthem,"Patriotic Song" (1943–1955, used alongside the state anthem)
SovietUnion,NationalAnthem,"Patriotic War Song" (1941–1943, used alongside the state anthem)
SovietUnion,NationalAnthem,"Russian Anthem" (1990, never officially adopted)
SovietUnion,NationalAnthem,"Hymn of the Soviet Union" (1990–1991, never officially adopted)
SovietUnion,HasCoatOfArms,Hammer and sickle
SovietUnion,HasFlag,Flag of the Soviet Union
SovietUnion,HasMotto,"Workers of the world, unite!"
SovietUnion,HasAnthem,"State Anthem of the Soviet Union"
SovietUnion,HasAnthem,"The Internationale"
SovietUnion,HasAnthem,"Hymn of the Soviet Union"
SovietUnion,HasAnthem,"Patriotic Song"
SovietUnion,HasAnthem,"Patriotic War Song"
SovietUnion,HasAnthem,"Russian Anthem" (unused)
SovietUnion,GainedIndependenceFrom,Russian Empire
SovietUnion,GainedIndependenceDate,1917 (Russian Revolution)
SovietUnion,DissolvedInto,15 independent republics
SovietUnion,DissolutionDate,December 26, 1991
SovietUnion,Legacy,Impact on 20th-century geopolitics
SovietUnion,Legacy,Global influence of communist ideology
SovietUnion,Legacy,Space exploration achievements
SovietUnion,Legacy,Complex legacy of repression and human rights abuses
SovietUnion,Legacy,Formation of successor states
SovietUnion,Legacy,End of the Cold War
SovietUnion,Legacy,Impact on global arms race
SovietUnion,Legacy,Cultural and scientific achievements
SovietUnion,Legacy,Memories of the Soviet era in former republics
SovietUnion,Legacy,Legacy of socialist economic policies
SovietUnion,Legacy,Political transformations in Eastern Europe
SovietUnion,Legacy,Rise of Russian Federation as successor state
SovietUnion,Legacy,Debate over historical assessment of Soviet rule
